DI,TradeValue,RealmType,Enclave,LivingQuarters,ParcelSize,ParcelSizeUnit
0,100000.0,Meadowlands,Crystalhollow,1439.0,10260.0,sqft
1,190000.0,Meadowlands,Verdantia,943.0,3874.0,sqft
2,203000.0,Meadowlands,Sunspire,979.0,8814.0,sqft
3,146500.0,Meadowlands,Dragonspire,1249.0,10858.0,sqft
4,212300.0,GnomeBurough,Mystvale,1501.0,9780.0,sqft
5,140000.0,Meadowlands,Emberfall,1231.0,13825.0,sqft
6,91000.0,GnomeBurough,Mystvale,828.0,9786.0,sqft
7,81300.0,GnomeBurough,Stormwatch,621.0,6120.0,sqft
8,468000.0,Meadowlands,Wyverncliff,1915.0,11128.0,sqft
9,236000.0,Meadowlands,Brightforge,1499.0,9938.0,sqft
10,147000.0,Meadowlands,Crystalhollow,861.0,8402.0,sqft
11,405000.0,Meadowlands,Glimmerwood,2196.0,9233.0,sqft
12,35311.0,ArcaneMarket,Mystvale,369.0,9000.0,sqft
13,201000.0,Meadowlands,Crystalhollow,1199.0,9196.0,sqft
14,199900.0,AetherIsles,Wyverncliff,954.0,4274.0,sqft
15,80000.0,Meadowlands,Shadowmere,725.0,11515.0,sqft
16,130000.0,GnomeBurough,Shadowmere,1313.0,3363.0,sqft
17,181000.0,Meadowlands,Duskwood,1233.0,10839.0,sqft
18,189000.0,Meadowlands,Duskwood,1387.0,7500.0,sqft
19,263000.0,AetherIsles,Wyverncliff,1610.0,9375.0,sqft
20,174000.0,Meadowlands,Dreamweaver,1196.0,3684.0,sqft
21,188000.0,Meadowlands,Duskwood,1275.0,8000.0,sqft
22,142000.0,Meadowlands,Dragonspire,679.0,15428.0,sqft
23,316500.0,Meadowlands,Ravenstone,1262.0,14463.0,sqft
24,302000.0,Meadowlands,Glimmerwood,2161.0,9572.0,sqft
25,385000.0,Meadowlands,Silverglen,1603.0,14803.0,sqft
26,209200.0,GnomeBurough,Crystalhollow,,8940.0,sqft
27,127500.0,GnomeBurough,Mystvale,799.0,7200.0,sqft
28,249700.0,AetherIsles,Wyverncliff,1273.0,11096.0,sqft
29,137000.0,Meadowlands,Stormhold,1193.0,10890.0,sqft
30,128200.0,Meadowlands,Sunspire,687.0,10650.0,sqft
31,145.0,Meadowlands,Thornfield,1012.0,0.08969,sqft
32,120000.0,GnomeBurough,Mystvale,838.0,6000.0,sqft
33,217500.0,Meadowlands,Mossheart,953.0,11064.0,sqft
34,110000.0,Meadowlands,Shadowmere,687.0,9450.0,sqft
35,196.5,Meadowlands,Shadowmere,1326.0,0.07162,sqft
36,174000.0,Meadowlands,Nighthaven,987.0,10960.0,sqft
37,142500.0,Meadowlands,Cloudrest,811.0,2304.0,sqft
38,333168.0,Meadowlands,Glimmerwood,1999.0,14774.0,sqft
39,162900.0,Meadowlands,Nighthaven,1279.0,10140.0,sqft
40,170000.0,Meadowlands,Nighthaven,1284.0,13355.0,sqft
41,55993.0,ArcaneMarket,Mystvale,803.0,8712.0,sqft
42,178900.0,Meadowlands,Nighthaven,1443.0,8000.0,sqft
43,150000.0,Meadowlands,Brightforge,1015.0,9019.0,sqft
44,203135.0,Meadowlands,THORNFIELD,1270.0,19645.0,sqft
45,176000.0,Meadowlands,Duskwood,963.0,7875.0,sqft
46,89000.0,ArcaneMarket,Mystvale,1046.0,5280.0,sqft
47,132000.0,Meadowlands,Crystalhollow,746.0,10441.0,sqft
48,179400.0,AetherIsles,Wyverncliff,1154.0,2280.0,sqft
49,131000.0,Meadowlands,Dragonspire,816.0,8128.0,sqft
50,145000.0,Meadowlands,Dragonspire,1066.0,7514.0,sqft
51,144000.0,Meadowlands,Shadowmere,919.0,10044.0,sqft
52,222000.0,Meadowlands,Sunspire,1355.0,9930.0,sqft
53,383970.0,Meadowlands,Sunspire,2073.0,9965.0,sqft
54,144000.0,Meadowlands,Stormwatch,897.0,8731.0,sqft
55,298751.0,Meadowlands,Ravenstone,1329.0,11449.0,sqft
56,144000.0,Meadowlands,Petalbridge,812.0,6979.0,sqft
57,34900.0,ArcaneMarket,Mystvale,553.0,7879.0,sqft
