DI,StructuralIntegrity,ExteriorCharm
0,4,Common
1,5,Gleaming
2,5,Gleaming
3,6,Common
4,9,Common
5,6,Common
6,4,Common
7,6,Common
8,5,Enchanting
9,5,Gleaming
10,5,Common
11,5,Gleaming
12,3,Common
13,5,Gleaming
14,5,Gleaming
15,5,Common
16,5,Gleaming
17,5,Common
18,5,Common
19,5,Gleaming
20,5,Gleaming
21,5,Common
22,6,Common
23,5,Enchanting
24,5,Gleaming
25,5,Enchanting
26,5,Common
27,7,Common
28,5,Gleaming
29,5,Common
30,6,Common
31,6,Common
32,8,Common
33,5,Gleaming
34,5,Common
35,5,Gleaming
36,5,Common
37,7,Common
38,5,Gleaming
39,5,Common
40,6,Common
41,5,Modest
42,6,Common
43,5,Common
44,6,Common
45,5,Common
46,7,Common
47,5,Common
48,5,Common
49,7,Common
50,7,Common
51,6,Common
52,5,Gleaming
53,5,Gleaming
54,5,Common
55,5,Gleaming
56,5,Common
57,5,Common
58,5,Gleaming
59,4,Modest
60,6,Common
61,7,Common
62,5,Enchanting
63,5,Gleaming
64,5,Enchanting
65,6,Common
66,8,Gleaming
67,5,Common
68,5,Common
69,5,Gleaming
70,6,Common
71,8,Common
72,5,Gleaming
73,5,Common
74,8,Common
75,5,Gleaming
76,5,Gleaming
77,5,Common
78,5,Gleaming
79,5,Common
80,5,Gleaming
81,6,Common
82,5,Gleaming
83,7,Common
84,7,Common
85,9,Common
86,5,Gleaming
87,7,Common
88,5,Gleaming
89,5,Gleaming
90,5,Gleaming
91,5,Enchanting
92,4,Common
93,8,Common
94,5,Common
95,7,Common
96,5,Gleaming
97,6,Common
98,5,Common
99,6,Common
100,5,Gleaming
101,6,Modest
102,5,Gleaming
103,6,Common
104,3,Gleaming
105,5,Common
106,5,Gleaming
107,5,Gleaming
108,5,Common
109,5,Gleaming
110,6,Common
111,6,Common
112,5,Gleaming
113,7,Common
114,5,Common
115,5,Gleaming
116,5,Gleaming
117,4,Common
118,5,Common
119,7,Common
120,6,Common
121,5,Gleaming
122,5,Common
123,5,Gleaming
124,6,Common
125,7,Gleaming
126,7,Common
127,5,Common
128,5,Gleaming
129,5,Gleaming
130,5,Common
131,5,Common
132,5,Common
133,7,Common
134,5,Common
135,7,Gleaming
136,5,Gleaming
137,4,Modest
138,8,Common
139,7,Gleaming
140,5,Gleaming
141,5,Gleaming
142,5,Common
143,8,Gleaming
144,6,Common
145,5,Gleaming
146,6,Common
147,5,Common
148,5,Gleaming
149,5,Enchanting
150,5,Common
151,5,Gleaming
152,8,Common
153,5,Common
154,5,Common
155,5,Gleaming
156,5,Gleaming
157,5,Common
158,6,Common
159,5,Common
160,5,Gleaming
161,5,Gleaming
162,5,Common
163,5,Gleaming
164,5,Gleaming
165,6,Gleaming
166,5,Common
167,6,Common
168,5,Common
169,5,Common
170,4,Common
171,5,Common
172,5,Common
173,7,Common
174,5,Gleaming
175,5,Gleaming
176,5,Gleaming
177,5,Gleaming
178,6,Common
179,5,Enchanting
180,5,Common
181,5,Gleaming
182,6,Common
183,5,Enchanting
184,5,Gleaming
185,5,Common
186,5,Gleaming
187,6,Common
188,1,Common
189,6,Common
190,5,Gleaming
191,7,Gleaming
192,5,Gleaming
193,6,Common
194,5,Gleaming
195,5,Common
196,5,Gleaming
197,5,Common
197,5,Common
198,4,Common
199,5,Gleaming
200,5,Gleaming
201,5,Common
202,5,Common
202,5,Common
203,6,Common
204,7,Common
205,5,Enchanting
206,5,Common
207,5,Common
208,7,Common
209,6,Common
210,7,Common
211,7,Common
212,5,Gleaming
213,5,Common
214,5,Common
215,5,Gleaming
216,6,Gleaming
217,7,Common
218,7,Common
219,9,Gleaming
220,6,Common
221,5,Common
221,5,Common
222,5,Gleaming
223,8,Gleaming
224,5,Common
225,4,Common
226,5,Common
227,8,Gleaming
228,5,Common
229,7,Common
230,6,Common
231,5,Common
232,5,Common
233,5,Gleaming
234,7,Common
235,6,Common
236,8,Gleaming
237,5,Gleaming
238,5,Gleaming
239,5,Common
240,5,Enchanting
241,5,Common
242,6,Common
243,6,Common
244,5,Gleaming
245,4,Common
246,5,Common
247,8,Common
248,5,Common
249,5,Gleaming
250,5,Common
251,6,Common
252,6,Common
253,5,Common
254,5,Gleaming
255,5,Gleaming
256,5,Common
257,5,Gleaming
258,7,Common
259,5,Gleaming
260,5,Common
261,5,Common
262,5,Common
263,5,Common
264,7,Common
265,7,Gleaming
266,3,Common
267,5,Common
268,7,Common
269,6,Common
270,5,Common
271,5,Common
272,4,Common
273,5,Common
274,5,Gleaming
275,5,Common
276,7,Gleaming
277,5,Gleaming
278,6,Common
279,5,Common
280,6,Gleaming
281,6,Common
282,6,Common
283,5,Gleaming
284,8,Common
285,4,Common
286,5,Gleaming
287,5,Gleaming
288,5,Common
289,5,Enchanting
290,5,Common
291,5,Common
292,5,Gleaming
293,5,Gleaming
294,3,Gleaming
295,5,Gleaming
296,5,Gleaming
297,6,Common
298,5,Common
299,5,Gleaming
300,5,Common
301,7,Common
302,5,Common
303,5,Common
304,6,Common
305,5,Gleaming
306,5,Enchanting
307,6,Common
308,5,Common
309,5,Enchanting
310,8,Common
311,6,Common
312,5,Common
313,6,Common
314,3,Common
315,5,Common
316,6,Common
317,5,Common
318,5,Gleaming
319,6,Common
320,5,Gleaming
321,5,Common
322,5,Gleaming
323,5,Gleaming
324,5,Gleaming
325,8,Common
326,5,Gleaming
327,4,Common
328,5,Common
329,5,Gleaming
330,5,Common
331,5,Gleaming
332,5,Common
333,6,Common
334,6,Common
335,7,Common
336,6,Common
337,6,Common
338,5,Common
339,6,Common
340,7,Gleaming
341,5,Common
342,5,Gleaming
343,5,Gleaming
344,7,Common
345,9,Gleaming
346,5,Gleaming
347,6,Common
348,6,Common
349,5,Common
350,7,Common
351,5,Common
352,6,Common
353,7,Common
354,5,Enchanting
355,5,Gleaming
356,5,Gleaming
357,5,Common
358,5,Gleaming
359,6,Common
360,6,Common
360,6,Common
361,5,Common
362,7,Common
363,5,Gleaming
364,5,Gleaming
365,6,Common
366,5,Common
367,5,Gleaming
368,6,Common
369,9,Enchanting
370,5,Gleaming
371,9,Gleaming
372,5,Gleaming
373,7,Common
374,6,Common
375,5,Common
376,6,Common
377,5,Common
378,6,Common
379,5,Common
380,5,Gleaming
381,8,Common
382,5,Common
383,6,Common
384,7,Common
385,9,Gleaming
385,9,Gleaming
386,5,Gleaming
387,6,Common
388,5,Enchanting
389,6,Common
390,5,Gleaming
391,8,Common
392,7,Common
393,5,Common
394,5,Gleaming
395,5,Modest
396,5,Common
397,5,Gleaming
398,6,Common
399,6,Common
400,6,Gleaming
401,5,Gleaming
402,5,Common
403,7,Common
404,6,Common
405,8,Common
406,5,Common
407,5,Gleaming
408,5,Gleaming
409,5,Gleaming
410,5,Gleaming
411,5,Common
412,3,Common
413,9,Gleaming
414,4,Common
415,5,Common
416,5,Gleaming
417,5,Gleaming
418,5,Common
419,5,Common
420,6,Common
421,5,Gleaming
422,7,Common
423,5,Common
424,6,Common
425,5,Gleaming
426,2,Common
427,5,Common
428,5,Gleaming
429,5,Gleaming
430,5,Gleaming
431,7,Common
432,5,Common
432,5,Common
433,5,Gleaming
434,8,Common
435,5,Common
436,5,Gleaming
437,5,Gleaming
438,5,Gleaming
439,7,Gleaming
440,6,Common
441,6,Common
442,6,Common
443,5,Common
444,5,Gleaming
445,9,Common
446,5,Common
447,5,Common
448,5,Gleaming
449,5,Gleaming
450,6,Common
451,5,Gleaming
452,5,Gleaming
453,5,Gleaming
454,5,Common
455,7,Common
456,5,Gleaming
457,4,Common
458,6,Common
459,6,Common
460,8,Common
461,4,Common
462,8,Common
463,7,Common
464,5,Gleaming
465,7,Gleaming
466,5,Enchanting
467,7,Common
468,5,Common
469,6,Common
470,5,Common
471,5,Gleaming
472,7,Common
473,7,Common
474,7,Gleaming
475,5,Gleaming
476,5,Common
477,6,Common
478,8,Common
479,5,Gleaming
480,4,Common
481,7,Common
482,6,Common
483,5,Gleaming
484,5,Gleaming
485,5,Gleaming
486,5,Gleaming
487,5,Gleaming
488,5,Gleaming
489,8,Common
490,5,Common
491,5,Gleaming
492,5,Gleaming
493,5,Gleaming
494,6,Common
495,7,Common
496,7,Common
497,9,Common
498,5,Gleaming
499,5,Common
500,5,Gleaming
501,7,Common
502,4,Common
503,6,Common
504,5,Common
505,5,Enchanting
506,6,Common
507,5,Gleaming
508,5,Common
509,6,Common
510,5,Gleaming
511,5,Gleaming
512,6,Common
513,5,Common
514,6,Common
515,6,Common
516,5,Enchanting
517,5,Gleaming
518,3,Common
519,5,Gleaming
520,5,Enchanting
521,7,Gleaming
522,5,Gleaming
523,5,Common
524,5,Gleaming
525,6,Common
526,7,Common
527,5,Common
528,6,Common
529,5,Common
530,6,Common
531,5,Enchanting
532,5,Modest
533,3,Common
534,5,Common
535,5,Common
536,5,Common
537,5,Enchanting
538,7,Common
539,7,Common
540,7,Common
541,6,Common
542,6,Common
543,5,Enchanting
544,6,Common
545,5,Common
546,6,Gleaming
547,5,Common
548,5,Gleaming
549,6,Common
550,7,Common
551,5,Gleaming
552,6,Common
553,7,Common
554,4,Common
555,5,Gleaming
556,5,Gleaming
557,5,Gleaming
558,5,Gleaming
559,6,Common
560,7,Common
561,5,Gleaming
562,5,Gleaming
563,5,Gleaming
564,5,Common
565,7,Common
566,5,Gleaming
567,9,Gleaming
568,6,Common
569,5,Gleaming
570,6,Common
571,5,Common
572,4,Common
573,7,Common
574,5,Gleaming
575,7,Gleaming
576,8,Common
577,8,Common
578,6,Common
579,4,Common
580,5,Common
581,5,Common
582,3,Common
583,5,Common
584,5,Common
585,6,Gleaming
586,8,Common
587,5,Gleaming
588,9,Common
589,7,Common
590,5,Gleaming
591,8,Gleaming
592,5,Gleaming
593,5,Common
594,5,Common
595,6,Common
596,5,Gleaming
597,5,Common
598,6,Common
599,5,Gleaming
600,6,Common
601,5,Common
602,5,Common
603,8,Common
604,5,Gleaming
605,5,Common
606,5,Common
607,6,Gleaming
608,5,Common
609,5,Gleaming
610,8,Common
611,6,Common
612,4,Common
613,5,Common
614,5,Common
615,5,Gleaming
616,5,Gleaming
617,5,Common
618,4,Common
619,5,Common
620,5,Gleaming
621,6,Common
622,5,Common
623,5,Gleaming
624,6,Common
625,5,Enchanting
626,7,Common
627,5,Gleaming
628,5,Enchanting
629,5,Modest
630,5,Common
631,6,Common
632,8,Common
633,5,Gleaming
634,6,Common
635,5,Gleaming
636,5,Gleaming
637,6,Common
638,5,Gleaming
639,6,Common
640,9,Gleaming
641,5,Common
642,5,Gleaming
643,6,Common
644,5,Common
645,6,Common
646,5,Gleaming
647,7,Common
648,9,Common
649,5,Common
650,5,Gleaming
651,7,Common
652,5,Gleaming
653,5,Gleaming
654,5,Gleaming
655,5,Common
656,5,Gleaming
657,6,Common
658,5,Gleaming
659,5,Common
660,8,Common
661,5,Gleaming
662,5,Gleaming
663,7,Common
664,7,Common
665,2,Modest
666,5,Gleaming
667,7,Common
668,5,Gleaming
669,5,Gleaming
670,5,Gleaming
671,7,Common
672,6,Common
673,7,Common
674,3,Common
675,5,Gleaming
676,5,Common
677,7,Common
678,5,Gleaming
679,5,Common
680,5,Common
681,5,Gleaming
682,5,Common
683,8,Common
684,5,Common
685,5,Enchanting
686,7,Common
687,5,Gleaming
688,5,Common
689,5,Common
690,6,Gleaming
691,4,Common
692,5,Common
