DI,Craftsmanship,EraConstructed
0,5,1466
1,8,1411
2,7,1713
3,5,1296
4,7,1342
5,5,1212
6,3,1047
7,5,1170
8,9,1745
9,7,1423
10,5,1631
11,9,1729
12,2,1188
13,7,1676
14,7,1686
15,4,1237
16,7,1661
17,6,1433
18,7,1586
19,7,1649
20,7,1761
21,6,1415
22,5,1202
23,9,1747
24,8,1562
25,10,1675
26,7,1553
27,6,1105
28,8,1667
29,5,1182
30,5,1417
31,6,1014
32,6,1199
33,8,1544
34,4,1218
35,7,1686
36,6,1404
37,7,1563
38,9,1543
39,7,1577
40,7,1255
41,5,1269
42,6,1364
43,6,1542
44,7,1457
45,7,1465
46,4,982
47,5,1563
48,7,1577
49,6,1285
50,5,1391
51,5,1387
52,7,1740
53,7,1696
54,5,1151
55,8,1733
56,6,1568
57,4,1130
58,7,1727
59,4,1317
60,6,1598
61,4,1396
62,10,1721
63,7,1694
64,9,1659
65,7,1251
66,8,1552
67,5,1645
68,6,1477
69,8,1678
70,6,1325
71,6,1097
72,6,1464
73,5,1113
74,6,1123
75,8,1740
76,8,1780
77,6,1572
78,7,1529
79,7,1335
80,7,1767
81,5,1222
82,8,1512
83,6,1014
84,5,1571
85,5,1108
86,7,1552
87,7,1524
88,8,1478
89,8,1638
90,8,1586
91,10,1666
92,6,1200
93,4,1316
94,4,1395
95,7,1152
96,7,1670
97,6,1090
98,4,1333
99,6,1382
100,7,1629
101,5,1300
102,7,1707
103,5,1151
104,6,1241
105,5,1318
106,7,1437
107,7,1747
108,6,1340
109,8,1502
110,5,1185
111,7,1186
112,9,1752
113,5,1347
114,5,1028
115,6,1786
116,8,1477
117,5,1193
118,6,1289
119,6,1362
120,7,1423
121,8,1536
122,6,1311
123,7,1604
124,6,1281
125,5,1142
126,6,1244
127,5,1208
128,8,1748
129,5,1677
130,7,1277
131,6,1256
132,6,1327
133,5,1273
134,5,1465
135,6,1343
136,10,1429
137,7,1141
138,5,1284
139,6,1441
140,8,1712
141,7,1699
142,4,1356
143,7,1266
144,5,1269
145,7,1725
146,5,1271
147,5,1447
148,9,1782
149,9,1624
150,6,1495
151,7,1732
152,7,1038
153,6,1293
154,5,1316
155,7,1602
156,8,1525
157,5,1459
158,5,1560
159,6,1304
160,8,1719
161,7,1703
162,5,1355
163,7,1530
164,7,1656
165,7,1468
166,7,1517
167,4,1058
168,7,1492
169,5,1269
170,4,1498
171,5,1391
172,6,1552
173,5,1287
174,8,1763
175,7,1688
176,7,1726
177,7,1660
178,5,1366
179,10,1769
180,4,1492
181,7,1429
182,5,1265
183,10,1696
184,7,1651
185,5,1242
186,8,1647
187,5,1239
188,3,1118
189,5,1376
190,8,1510
191,7,996
192,7,1759
193,6,1285
194,7,1404
195,5,1478
196,7,1645
197,4,1261
197,4,1261
198,5,1006
199,7,1676
200,8,1729
201,5,1222
202,6,1789
202,6,1789
203,5,1313
204,5,1228
205,10,1619
206,7,1477
207,6,1596
208,7,1270
209,6,1209
210,6,1117
211,5,1128
212,8,1633
213,4,1062
214,6,1372
215,6,1774
216,8,1695
217,6,1194
218,6,1144
219,8,1143
220,3,1193
221,5,1363
221,5,1363
222,8,1708
223,6,1510
224,5,1303
225,6,1215
226,4,1220
227,6,1424
228,5,1385
229,7,1068
230,5,1360
231,5,1346
232,6,1423
233,7,1406
234,6,1131
235,5,1364
236,6,1275
237,7,1716
238,8,1678
239,6,1123
240,9,1725
241,4,1048
242,5,1204
243,5,1098
244,6,1782
245,5,1313
246,5,1582
247,6,1167
248,7,1211
249,7,1410
250,6,1467
251,5,1374
252,7,1017
253,7,1788
254,7,1590
255,7,1761
256,7,1442
257,7,1454
258,6,1023
259,8,1773
260,5,1221
261,8,1441
262,6,1761
263,8,1599
264,6,1077
265,5,904
266,5,1372
267,5,1308
268,5,1332
269,5,1270
270,5,1588
271,6,1346
272,5,1280
273,5,1306
274,7,1599
275,5,1319
276,8,1418
277,7,1769
278,3,1149
279,7,1485
280,7,1590
281,5,1527
282,5,1177
283,8,1799
284,6,1313
285,6,1118
286,8,1754
287,8,1714
288,5,1333
289,9,1631
290,5,1386
291,6,1061
292,8,1643
