Key,Mean
"('ArcaneMarket', 'Mystvale')",70962.83333333333
"('GnomeBurough', 'MYSTVALE')",85000.0
"('CitadelQuarter', 'Shadowmere')",91300.0
"('ArcaneMarket', 'Stormhold')",93369.0
"('GnomeBurough', 'Wolfsbane')",95693.0
"('CitadelQuarter', 'Brightforge')",97880.0
"('Meadowlands', 'SHADOWMERE')",98000.0
"('GnomeBurough', 'Starfall')",107413.46153846153
"('Meadowlands', 'shadowmere')",112000.0
"('GnomeBurough', 'Mystvale')",115877.55555555556
"('Meadowlands', 'Petalbridge')",116813.0303030303
"('GnomeBurough', 'Emberfall')",118833.33333333333
"('GnomeBurough', 'Stormwatch')",119228.30188679245
"('Meadowlands', 'EMBERFALL')",123000.0
"('GnomeBurough', 'Petalbridge')",126211.71366459627
"('Meadowlands', 'Stormwatch')",130696.52777777778
"('Meadowlands', 'Shadowmere')",133153.60915492958
"('Meadowlands', 'Stormhold')",134110.29411764705
"('Meadowlands', 'Emberfall')",137030.01315789475
"('GnomeBurough', 'Shadowmere')",138954.54545454544
"('Meadowlands', 'Cloudrest')",139280.55555555556
"('GnomeBurough', 'Sunspire')",141022.72727272726
"('Meadowlands', 'emberfall')",143500.0
"('Meadowlands', 'Dragonspire')",144447.558739255
"('CitadelQuarter', 'Thornfield')",145000.0
"('GnomeBurough', 'Oakenshade')",145766.66666666666
"('CitadelQuarter', 'Stormhold')",152866.8
"('CitadelQuarter', 'Dragonspire')",156000.0
"('Meadowlands', 'dragonspire')",156625.0
"('Meadowlands', 'thornfield')",158500.0
"('Meadowlands', 'Crystalhollow')",161089.37228915663
"('GnomeBurough', 'Crystalhollow')",171214.2857142857
"('Meadowlands', 'Dragonspires')",178400.0
"('Meadowlands', 'Sunspires')",183600.0
"('Meadowlands', 'Nighthaven')",185950.94607843139
"('Meadowlands', 'Brightforge')",186826.7894736842
"('Meadowlands', 'Verdantia')",187125.0
"('Meadowlands', 'BRIGHTFORGE')",188325.0
"('Meadowlands', 'Duskwood')",189914.23484848486
"('Meadowlands', 'Dreamweaver')",190874.36363636365
"('Meadowlands', 'Thornfield')",193317.25373134328
"('Meadowlands', 'THORNFIELD')",203135.0
"('Meadowlands', 'Sunspire')",204421.2
"('GnomeBurough', 'Silverglen')",207000.0
"('Meadowlands', 'Windwhisper')",209652.2162162162
"('AetherIsles', 'wyverncliff')",213833.33333333334
"('AetherIsles', 'Wyverncliff')",218345.42592592593
"('GnomeBurough', 'Dreamweaver')",225000.0
"('Meadowlands', 'Ravenstone')",248929.3620689655
"('Meadowlands', 'glimmerwood')",250000.0
"('Meadowlands', 'Mossheart')",257467.5
"('Meadowlands', 'Wyverncliff')",268186.4054054054
"('GnomeBurough', 'Moonglade')",280000.0
"('GnomeBurough', 'Thornfield')",290370.5
"('Meadowlands', 'Silverglen')",326295.42123846157
"('Meadowlands', 'Riverbend')",330424.88372093026
"('Meadowlands', 'silverglen')",335453.3333333333
"('Meadowlands', 'Glimmerwood')",337858.6666666667
