DI,TradeValue,RealmType,Enclave,LivingQuarters,ParcelSize,ParcelSizeUnit,StructuralIntegrity,ExteriorCharm,AffordableDwelling,Craftsmanship,EraConstructed
0,100000.0,Meadowlands,Crystalhollow,1439.0,953.18478,sqm,4,Common,1,5,1466
1,190000.0,Meadowlands,Verdantia,943.0,359.906222,sqm,5,Gleaming,1,8,1411
2,203000.0,Meadowlands,Sunspire,979.0,818.847042,sqm,5,Gleaming,0,7,1713
3,146500.0,Meadowlands,Dragonspire,1249.0,1008.740774,sqm,6,Common,1,5,1296
4,212300.0,GnomeBurough,Mystvale,1501.0,908.59134,sqm,9,Common,1,7,1342
5,140000.0,Meadowlands,Emberfall,1231.0,1284.383975,sqm,6,Common,1,5,1212
6,91000.0,GnomeBurough,Mystvale,828.0,909.148758,sqm,4,Common,1,3,1047
7,81300.0,GnomeBurough,Stormwatch,621.0,568.56636,sqm,6,Common,1,5,1170
8,468000.0,Meadowlands,Wyverncliff,1915.0,1033.824584,sqm,5,Enchanting,0,9,1745
9,236000.0,Meadowlands,Brightforge,1499.0,923.270014,sqm,5,Gleaming,1,7,1423
10,147000.0,Meadowlands,Crystalhollow,861.0,780.571006,sqm,5,Common,1,5,1631
11,405000.0,Meadowlands,Glimmerwood,2196.0,857.773399,sqm,5,Gleaming,0,9,1729
12,35311.0,ArcaneMarket,Mystvale,369.0,836.127,sqm,3,Common,1,2,1188
13,201000.0,Meadowlands,Crystalhollow,1199.0,854.335988,sqm,5,Gleaming,1,7,1676
14,199900.0,AetherIsles,Wyverncliff,954.0,397.067422,sqm,5,Gleaming,0,7,1686
15,80000.0,Meadowlands,Shadowmere,725.0,1069.778045,sqm,5,Common,1,4,1237
16,130000.0,GnomeBurough,Shadowmere,1313.0,312.432789,sqm,5,Gleaming,1,7,1661
17,181000.0,Meadowlands,Duskwood,1233.0,1006.975617,sqm,5,Common,1,6,1433
18,189000.0,Meadowlands,Duskwood,1387.0,696.7725,sqm,5,Common,1,7,1586
19,263000.0,AetherIsles,Wyverncliff,1610.0,870.965625,sqm,5,Gleaming,0,7,1649
20,174000.0,Meadowlands,Dreamweaver,1196.0,342.254652,sqm,5,Gleaming,1,7,1761
21,188000.0,Meadowlands,Duskwood,1275.0,743.224,sqm,5,Common,1,6,1415
22,142000.0,Meadowlands,Dragonspire,679.0,1433.307484,sqm,6,Common,1,5,1202
23,316500.0,Meadowlands,Ravenstone,1262.0,1343.656089,sqm,5,Enchanting,0,9,1747
24,302000.0,Meadowlands,Glimmerwood,2161.0,889.267516,sqm,5,Gleaming,0,8,1562
25,385000.0,Meadowlands,Silverglen,1603.0,1375.243109,sqm,5,Enchanting,0,10,1675
27,127500.0,GnomeBurough,Mystvale,799.0,668.9016,sqm,7,Common,1,6,1105
28,249700.0,AetherIsles,Wyverncliff,1273.0,1030.851688,sqm,5,Gleaming,0,8,1667
29,137000.0,Meadowlands,Stormhold,1193.0,1011.71367,sqm,5,Common,1,5,1182
30,128200.0,Meadowlands,Sunspire,687.0,989.41695,sqm,6,Common,1,5,1417
32,120000.0,GnomeBurough,Mystvale,838.0,557.418,sqm,8,Common,1,6,1199
33,217500.0,Meadowlands,Mossheart,953.0,1027.878792,sqm,5,Gleaming,0,8,1544
34,110000.0,Meadowlands,Shadowmere,687.0,877.93335,sqm,5,Common,1,4,1218
36,174000.0,Meadowlands,Nighthaven,987.0,1018.21688,sqm,5,Common,1,6,1404
37,142500.0,Meadowlands,Cloudrest,811.0,214.048512,sqm,7,Common,1,7,1563
38,333168.0,Meadowlands,Glimmerwood,1999.0,1372.548922,sqm,5,Gleaming,0,9,1543
39,162900.0,Meadowlands,Nighthaven,1279.0,942.03642,sqm,5,Common,1,7,1577
40,170000.0,Meadowlands,Nighthaven,1284.0,1240.719565,sqm,6,Common,1,7,1255
41,55993.0,ArcaneMarket,Mystvale,803.0,809.370936,sqm,5,Modest,1,5,1269
42,178900.0,Meadowlands,Nighthaven,1443.0,743.224,sqm,6,Common,1,6,1364
43,150000.0,Meadowlands,Brightforge,1015.0,837.892157,sqm,5,Common,1,6,1542
44,203135.0,Meadowlands,Thornfield,1270.0,1825.079435,sqm,6,Common,1,7,1457
45,176000.0,Meadowlands,Duskwood,963.0,731.611125,sqm,5,Common,1,7,1465
46,89000.0,ArcaneMarket,Mystvale,1046.0,490.52784,sqm,7,Common,1,4,982
47,132000.0,Meadowlands,Crystalhollow,746.0,970.000223,sqm,5,Common,1,5,1563
48,179400.0,AetherIsles,Wyverncliff,1154.0,211.81884,sqm,5,Common,1,7,1577
49,131000.0,Meadowlands,Dragonspire,816.0,755.115584,sqm,7,Common,1,6,1285
50,145000.0,Meadowlands,Dragonspire,1066.0,698.073142,sqm,7,Common,1,5,1391
51,144000.0,Meadowlands,Shadowmere,919.0,933.117732,sqm,6,Common,1,5,1387
52,222000.0,Meadowlands,Sunspire,1355.0,922.52679,sqm,5,Gleaming,0,7,1740
53,383970.0,Meadowlands,Sunspire,2073.0,925.778395,sqm,5,Gleaming,0,7,1696
54,144000.0,Meadowlands,Stormwatch,897.0,811.136093,sqm,5,Common,1,5,1151
55,298751.0,Meadowlands,Ravenstone,1329.0,1063.646447,sqm,5,Gleaming,0,8,1733
